Granularité;janv-11;févr-11;mars-11;avr-11;mai-11;juin-11;juil-11;août-11;sept-11;oct-11;nov-11;déc-11;Total arrondissement 2011
75010;233.8;219.6;265.4;207.6;259.7;218.8;203.8;179.8;210.7;219.5;270.0;235.9;2724.6
75015;595.8;516.9;574.3;463.1;592.1;518.4;457.0;395.9;470.0;540.6;573.4;545.1;6242.6
75020;365.5;294.9;340.1;282.7;335.2;323.1;266.3;261.6;274.3;314.8;336.6;318.0;3713.1
;5924.2;5130.1;5876.4;5180.4;5846.7;5696.1;4983.7;3966.7;5430.4;5562.2;5732.2;6037.6;65366.7
75008;395.9;315.5;361.5;332.3;408.2;408.3;348.9;252.4;425.1;416.8;392.3;429.8;4487.0
75012;334.8;304.1;314.0;331.0;314.0;300.0;311.0;218.1;315.0;313.0;314.0;323.0;3692.0
75016;493.8;407.9;463.8;401.8;480.2;458.3;377.7;257.6;432.9;446.8;416.3;504.6;5141.7
75019;298.7;172.4;266.9;233.3;292.3;275.7;218.9;216.1;239.6;265.7;279.0;258.2;3016.8
75001;132.4;122.2;150.0;132.4;144.6;139.7;123.5;90.8;149.5;145.4;140.5;159.2;1630.2
75006;186.5;173.3;206.4;182.5;196.2;198.8;182.0;137.7;194.0;204.0;215.3;207.6;2284.3
75018;433.0;381.0;452.8;379.5;421.6;427.3;364.8;330.6;384.3;404.2;431.3;428.7;4839.1
75002;130.5;121.0;141.7;124.1;137.3;140.5;115.5;84.1;144.2;138.8;132.5;158.2;1568.4
75003;130.6;120.0;143.5;114.7;143.0;120.9;104.2;93.7;120.2;120.1;130.9;124.3;1466.1
75004;116.9;103.3;123.2;108.8;106.8;134.1;105.1;83.6;121.2;117.9;113.0;137.4;1371.3
75005;190.1;164.7;201.3;169.4;181.6;211.2;155.7;116.2;188.1;186.1;175.6;214.3;2154.3
75009;214.2;195.3;233.7;195.0;208.5;230.1;183.3;158.4;199.9;209.5;242.8;226.9;2497.6
75011;408.8;363.3;382.9;363.7;400.6;342.7;329.6;259.1;361.9;342.8;379.7;387.8;4322.9
75013;315.1;294.7;331.6;283.4;299.5;305.2;285.5;207.2;317.0;277.4;292.3;383.7;3592.6
75017;422.7;364.4;351.4;372.8;388.9;350.0;366.3;239.8;379.1;387.7;356.9;434.1;4414.1
75007;224.0;199.6;217.2;236.2;234.0;252.2;215.2;152.8;234.1;207.8;195.9;250.0;2619.0
75014;301.1;296.0;354.7;266.1;302.4;340.8;269.4;231.2;269.3;303.3;343.9;310.8;3589.0
